campaign_id,developer_id,game_id,placement,started_at,ended_at,budget_usd,bid_cpc_usd,target_country,campaign_status
camp_00000001,d_000062,g_0049659,home_top,2025-12-20T09:05:35Z,2026-01-18T09:05:35Z,6934.01,1.92,NO,finished
camp_00000002,d_000013,g_0008482,library_recommendations,2025-09-06T15:40:08Z,2025-10-02T15:40:08Z,5055.53,0.9,US,finished
camp_00000003,d_000112,g_0051100,library_recommendations,2025-04-13T12:24:36Z,2025-05-16T12:24:36Z,8217.47,2.11,FR,finished
camp_00000004,d_000011,g_0051371,search_results,2026-04-09T01:17:02Z,2026-04-23T01:17:02Z,5686.97,0.34,TR,finished
camp_00000005,d_000033,g_0069111,search_results,2025-08-11T20:24:58Z,2025-09-15T20:24:58Z,6828.22,0.38,CA,finished
camp_00000006,d_000081,g_0040174,genre_page,2025-07-16T12:13:28Z,2025-08-13T12:13:28Z,303.58,0.9,US,finished
camp_00000007,d_000030,g_0025680,home_top,2025-05-07T17:34:10Z,2025-06-12T17:34:10Z,1044.66,1.22,IT,finished
camp_00000008,d_000035,g_0088753,search_results,2026-05-13T21:48:12Z,2026-05-30T21:48:12Z,6677.29,0.54,SE,finished
camp_00000009,d_000029,g_0029541,home_top,2025-09-20T08:24:35Z,2025-10-28T08:24:35Z,4629.83,1.6,IN,finished
camp_00000010,d_000056,g_0083177,genre_page,2026-01-16T04:37:05Z,2026-01-23T04:37:05Z,7630.76,0.37,RU,finished
camp_00000011,d_000084,g_0001687,home_top,2026-04-22T04:18:00Z,2026-05-21T04:18:00Z,3093.2,2.32,DE,finished
camp_00000012,d_000047,g_0001703,genre_page,2025-05-13T14:06:47Z,2025-06-22T14:06:47Z,7432.55,0.09,US,finished
camp_00000013,d_000108,g_0058967,search_results,2026-03-08T06:06:35Z,2026-04-04T06:06:35Z,6097.69,0.17,JP,finished
camp_00000014,d_000033,g_0032186,game_page_sidebar,2025-12-31T05:22:14Z,2026-01-17T05:22:14Z,4795.71,1.79,CA,finished
camp_00000015,d_000053,g_0026525,game_page_sidebar,2025-05-24T10:30:19Z,2025-07-03T10:30:19Z,2065.4,0.57,US,finished
camp_00000016,d_000086,g_0027872,library_recommendations,2025-03-13T21:02:15Z,2025-04-24T21:02:15Z,5683.67,,FI,finished
camp_00000017,d_000120,g_0008582,library_recommendations,2026-04-18T00:30:32Z,2026-05-14T00:30:32Z,5203.55,1.48,PL,finished
camp_00000018,d_000066,g_0061789,library_recommendations,2026-02-24T12:37:28Z,2026-03-07T12:37:28Z,1990.05,2.12,ES,finished
camp_00000019,d_000083,g_0030771,genre_page,2026-04-13T10:25:52Z,2026-05-10T10:25:52Z,9160.3,0.74,CA,finished
camp_00000020,d_000032,g_0099088,home_top,2025-09-12T12:24:21Z,2025-10-08T12:24:21Z,6599.78,1.3,all,finished
camp_00000021,d_000107,g_0062862,genre_page,2025-08-09T18:30:15Z,2025-09-23T18:30:15Z,4908.63,0.7,GB,finished
camp_00000022,d_000041,g_0077550,search_results,2025-05-07T20:19:43Z,2025-06-03T20:19:43Z,2834.13,1.34,BR,finished
camp_00000023,d_000047,g_0002093,genre_page,2026-03-08T03:56:43Z,2026-04-19T03:56:43Z,6875.14,2.19,KR,finished
camp_00000024,d_000034,g_0040019,library_recommendations,2025-05-04T17:10:28Z,2025-05-23T17:10:28Z,4911.04,1.19,US,finished
camp_00000025,d_000027,g_0059432,game_page_sidebar,2025-09-13T10:34:40Z,2025-09-23T10:34:40Z,6824.7,0.28,SE,finished
camp_00000026,d_000006,g_0025124,home_top,2025-06-14T12:12:57Z,2025-07-24T12:12:57Z,8842.74,2.05,NL,finished
camp_00000027,d_000070,g_0072626,home_top,2025-08-30T10:44:15Z,2025-09-17T10:44:15Z,8832.5,2.17,all,finished
camp_00000028,d_000120,g_0028699,game_page_sidebar,2026-03-13T14:39:24Z,2026-04-21T14:39:24Z,2877.96,,CA,finished
camp_00000029,d_000082,g_0077661,home_top,2026-04-13T21:56:21Z,2026-04-20T21:56:21Z,7447.43,1.99,NO,finished
camp_00000030,d_000050,g_0017662,game_page_sidebar,2025-04-18T18:46:49Z,2025-05-29T18:46:49Z,7421.31,1.28,GB,finished
camp_00000031,d_000003,g_0092959,home_top,2026-02-17T16:20:12Z,2026-03-31T16:20:12Z,5517.52,1.77,all,finished
camp_00000032,d_000004,g_0094696,search_results,2026-05-07T00:06:54Z,2026-06-01T00:00:00Z,4237.84,1.71,AU,active
camp_00000033,d_000016,g_0022212,genre_page,2025-03-22T03:27:58Z,2025-04-04T03:27:58Z,5760.36,1.32,DE,finished
camp_00000034,d_000026,g_0080552,search_results,2025-09-20T21:34:47Z,2025-10-01T21:34:47Z,1986.58,1.78,CA,finished
camp_00000035,d_000023,g_0003633,genre_page,2026-02-22T21:48:22Z,2026-03-06T21:48:22Z,1876.57,0.16,NO,finished
camp_00000036,d_000090,g_0008771,genre_page,2025-08-08T09:27:23Z,2025-09-18T09:27:23Z,896.7,0.7,DE,finished
camp_00000037,d_000084,g_0014461,library_recommendations,2026-04-09T08:49:25Z,2026-05-16T08:49:25Z,9802.14,1.01,all,finished
